# Linux versiones

path version Red Hat, cat /etc/redhat-release
path version Ubuntu, cat /etc/lsb-release alternativa /etc/os-release
path version Debian, cat /etc/os-release alternativa /etc/lsb-release
path version release OS, cat /proc/sys/kernel/osrelease -> 5.10.0-21-amd64
existe /etc/issue; /etc/osrelease y /etc/debian_version?, Sí podemos obtener info acerca de la distribucion de Linux
path version tipo OS, cat /proc/sys/kernel/ostype -> Linux
En Linux imprime toda la información nombre kernel; version; release; plataforma hardware, uname -a o --all
En Linux imprime con uname el nombre del kernel, uname -s o --kernel-name
En Linux imprime con uname el nombre de host del nodo de red, uname -n o --nodename
En Linux imprime con uname la release del Kernel, uname -r o --kernel-release
En Linux imprime con uname la versión del Kernel, uname -v o --kernel-version
En Linux imprime con uname la versión de sistema operativo, uname -o o --operating-system
En Linux imprime con uname plataforma hardware, uname -i o --hardware-platform
En Linux imprime con uname arquitectura de procesador, uname -p o --processor
En Linux imprime con lsb_release identificación del distribuidor, lsb_release -i
En Linux imprime con lsb_release descripción de la distribución, lsb_release -d
En Linux imprime con lsb_release la release de la distribución, lsb_release -r
En Linux imprime con lsb_release nombre en clave de la distribución, lsb_release -c
En Linux imprime con lsb_release toda la informacion, lsb_release -a

# Linux paquetería

Path en Debian con urls de los catálogos de todos los paquetes/programas, /etc/apt/sources.list
Herramientas para instalar paquetes en Debian, aptitude; dselect; synaptic
Buscar un paquete en Debian, apt-cache search programa; apt search programa
Path en Red Hat con urls de los catálogos de todos los paquetes/programas, /etc/yum.repos.d
Comando para instalar|borrar|buscar paquete online en Red Hat, yum install|remove|search programa o con dnf install|remove|search ...
apt-cache search vsftpd, busca el paquete vsftpd en tu catalogo local
apt-cache show vsftpd, info del paquete
apt-get update, actualiza el indice de paquetes usando los repositorios
apt-get upgrade, actualiza los paquetes instalados en el sistema
apt-get install vsftpd, instala el paquete vsftpd online
apt-get remove vsftpd, elimina el paquete
apt-get purge vsftpd, elimina el paquete y ficheros de configuracion. Equivalente a apt remove --purge
apt-get autoremove, elimina paquetes huerfanos que ya no son necesarios
dpkg -i flash_2.8.2+squeeze1_i386.deb, instalación offline
dpkg -l, lista paquetes instalados
dpkg -r nombre_paquete, remove con -p hace un purge
dpkg -c flash_2.8.2+squeeze1_i386.deb, listar el contenido
dpkg -s nombre_paquete, chequea si está instalado
dpkg -L nombre_paquete, localizacion/directorios de la instalacion
dpkg -P nombre_paqueta, elimina el paquete y ficheros de configuración
yum install firefox, instala el paquete firefox
yum remove firefox, elimina el paquete
yum update mysql, actualiza ese paquete
yum list openssh, busca el paquete llamado exactamente openssh
yum list installed, muestra paquetes instalados
yum search openssh, busca el paquete openssh
yum info firefox, muestra info del paquete
yum repolist, muestra lista de repositorios activos
yum --enablerepo=epel install phpmyadmin, para instalar desde un repo concreto
rpm -ivh pidgin-2.7.9-5.el6.2.i686.rpm, instalación offline verbose
rpm -Uvh nx-3.5.0-2.el6.centos.i686.rpm, hacer un upgrade
rpm -qpR BitTorrent-5.2.2-1-Python2.4.noarch.rpm, chequear dependencias antes de la instalacion
rpm -ql BitTorrent, lista los ficheros de la instalación
rpm -evv nombre_paquete, elimina el paquete
rpm -qi vsftpd, muestra información del paquete instalado. La q es query
rpm -qip sqlbuddy-1.3.3-1.noarch.rpm, muestra información del paquete
Nombre de paquete servidor DNS, bind9
Nombre de paquete servidor DHCP, isc-dhcp-server

# Linux gestión usuarios

useradd -m -d /home/pepe -s /usr/bin/zsh -G devs;admins pepe, crea el usuario pepe; crea el directorio home especificado; le configura el shell zsh y le asocia a esa lista de grupos
useradd -e 2022-01-22 pepe, fecha de expiracion de la cuenta
useradd -f 45, bloquea la cuenta pasados esos dias de inactividad
useradd -r nginx, crea una cuenta de sistema
usermod -l pepeito pepe, cambia el login de 'pepe' a 'pepito'
usermod -a -G Marketing pepe, añade a pepe al grupo de Marketing
usermod -L pepe, bloquea la cuenta. Con -U desbloquea
userdel -r pepe, borra la cuenta y todos sus ficheros asociados
Diferencia entre adduser y useradd, adduser es un script que llama a useradd que usa el fichero de configuracion /etc/adduser.conf y ofrece un proceso de alta más sencillo e interactivo
Para que sirve chage, nos sirve para gestionar la expiración de la cuenta del usuario y la policita de expiracion de la password
Para que sirve passwd, nos permite cambiar la contraseña
Que ficheros usa useradd, /etc/login.defs ej. parametro CREATE_HOME=yes y /etc/default/useradd
