# Linux versiones

path version Red Hat, cat /etc/redhat-release
path version Ubuntu, cat /etc/lsb-release alternativa /etc/os-release
path version Debian, cat /etc/debian_version
path version release kernel, cat /proc/sys/kernel/osrelease -> 5.10.0-21-amd64
existe /etc/issue; /etc/osrelease?, Sí podemos obtener info acerca de la distribucion de Linux
path version tipo OS, cat /proc/sys/kernel/ostype -> Linux
En Linux imprime toda la información nombre kernel; version; release; plataforma hardware, uname -a o --all
En Linux imprime con uname el nombre del kernel, uname -s o --kernel-name
En Linux imprime con uname el nombre de host del nodo de red, uname -n o --nodename
En Linux imprime con uname la release del Kernel, uname -r o --kernel-release
En Linux imprime con uname la versión del Kernel, uname -v o --kernel-version
En Linux imprime con uname la versión de sistema operativo, uname -o o --operating-system
En Linux imprime con uname plataforma hardware, uname -i o --hardware-platform
En Linux imprime con uname arquitectura de procesador, uname -p o --processor
En Linux imprime con lsb_release identificación del distribuidor, lsb_release -i
En Linux imprime con lsb_release descripción de la distribución, lsb_release -d
En Linux imprime con lsb_release la release de la distribución, lsb_release -r
En Linux imprime con lsb_release nombre en clave de la distribución, lsb_release -c
En Linux imprime con lsb_release toda la informacion, lsb_release -a

# Linux paquetería B side

Path en Debian con urls de los catálogos de todos los paquetes/programas, /etc/apt/sources.list
Herramientas para instalar paquetes en Debian, aptitude; dselect; synaptic
Buscar un paquete en Debian, apt-cache search programa; apt search programa
Path en Red Hat con urls de los catálogos de todos los paquetes/programas, /etc/yum.repos.d
Comando para instalar|borrar|buscar paquete online en Red Hat, yum install|remove|search programa o con dnf install|remove|search ...
apt: busca el paquete vsftpd en tu catalogo local,apt-cache search vsftpd
apt: info del paquete,apt-cache show vsftpd
apt: actualiza el indice de paquetes usando los repositorios,apt-get update
apt: actualiza los paquetes instalados en el sistema,apt-get upgrade
apt: instala el paquete vsftpd online,apt-get install vsftpd
apt: elimina el paquete,apt-get remove vsftpd
apt: elimina el paquete y ficheros de configuracion,apt-get purge vsftpd
apt: elimina paquetes huerfanos que ya no son necesarios,apt-get autoremove
dpkg: instalación offline,dpkg -i flash_2.8.2+squeeze1_i386.deb
dpkg: lista paquetes instalados,dpkg -l
dpkg: remove con -p hace un purge,dpkg -r nombre_paquete
dpkg: listar el contenido,dpkg -c flash_2.8.2+squeeze1_i386.deb
dpkg: chequea si está instalado,dpkg -s nombre_paquete
dpkg: localizacion/directorios de la instalacion,dpkg -L nombre_paquete
dpkg: elimina el paquete y ficheros de configuración,dpkg -P nombre_paqueta
yum: instala el paquete firefox,yum install firefox
yum: elimina el paquete,yum remove firefox
yum: actualiza ese paquete,yum update mysql
yum: busca el paquete llamado exactamente openssh,yum list openssh
yum: muestra paquetes instalados,yum list installed
yum: busca el paquete openssh,yum search openssh
yum: muestra info del paquete,yum info firefox
yum: muestra lista de repositorios activos,yum repolist
yum: para instalar desde un repo concreto,yum --enablerepo=epel install phpmyadmin
rpm: instalación offline verbose,rpm -ivh pidgin-2.7.9-5.el6.2.i686.rpm
rpm: hacer un upgrade,rpm -Uvh nx-3.5.0-2.el6.centos.i686.rpm
rpm: chequear dependencias antes de la instalacion,rpm -qpR BitTorrent-5.2.2-1-Python2.4.noarch.rpm
rpm: lista los ficheros de la instalación,rpm -ql BitTorrent
rpm: elimina el paquete,rpm -evv nombre_paquete
rpm: muestra información del paquete instalado,rpm -qi vsftpd
rpm: muestra información del paquete,rpm -qip sqlbuddy-1.3.3-1.noarch.rpm
Nombre de paquete servidor DNS, bind9
Nombre de paquete servidor DHCP, isc-dhcp-server

# Linux gestión usuarios B side

useradd: crea el usuario pepe; crea el directorio home especificado; le configura el shell zsh y le asocia a esa lista de grupos,useradd -m -d /home/pepe -s /usr/bin/zsh -G devs;admins pepe
useradd: fecha de expiracion de la cuenta,useradd -e 2022-01-22 pepe
useradd: bloquea la cuenta pasados esos dias de inactividad,useradd -f 45
useradd: crea una cuenta de sistema,useradd -r nginx
usermod: cambia el login de 'pepe' a 'pepito',usermod -l pepeito pepe
usermod: añade a pepe al grupo de Marketing,usermod -a -G Marketing pepe
usermod: bloquea la cuenta. Con -U desbloquea,usermod -L pepe
userdel: borra la cuenta y todos sus ficheros asociados,userdel -r pepe
Diferencia entre adduser y useradd, adduser es un script que llama a useradd que usa el fichero de configuracion /etc/adduser.conf y ofrece un proceso de alta más sencillo e interactivo
Para que sirve chage, nos sirve para gestionar la expiración de la cuenta del usuario y la policita de expiracion de la password
Para que sirve passwd, nos permite cambiar la contraseña
Que ficheros usa useradd, /etc/login.defs ej. parametro CREATE_HOME=yes y /etc/default/useradd
Que es cada campo de /etc/shadow sally:$6$EmoFkLZPkHkpczVN2XRcMdyj8/ZeeT5UnTQ:15505:0:-1:7:-1:-1:,"
- username:hash de la password
- Ultimo cambio de password:Días de aviso para el cambio de pass:Días de bloqueo después de contraseña incorrecta:Días de expiración de la cuenta:Cuenta inactiva
TIP: Una ! delante de la password indica cuenta bloqueda. TIP: Un * en la password indica que no se puede hacer login"
Que es cada campo de /etc/group project1:x:504:sally;sam;ellen;george, groupname - password - GID - lista de usuarios
who: muestra los login y el numero total de usuarios logados,who -q
who: muestra el hostname desde donde está conectandose el usuario,who -m
who: muestra el runlevel actual,who -r
who: fecha y hora del ultimo inicio del sistema. comando similar: last -ap now,who -b
Que hace el comando users, muestra solo el login de los usuarios conectados. Con users w muestra lo que están haciendo
Que muestra el comando id, muestra información del usuario: uid; gid; grupos

# Linux gestión permisos ficheros B side

setfacl: añade acl de permiso de rw para el usuario pepe sobre el fichero,setfacl -m u:pepe:rw /path/fichero
setfacl: añade acl de permiso de rwx para el grupo developers sobre el fichero,setfacl -m g:developers:rwx /path/fichero
setfacl: borrar todas las acl's del fichero,setfacl -b  ficharo
setfacl: elimina una acl concreta sobre el fichero,setfacl -x  'acl' fichero
chmod 755 fichero, activar permisos rwx r_x r_x
chmod 1755 fichero, activar permisos + el bit sticky. Idem que o+t
chmod 2755 ejecutable, activar permisos + el bit SetGID. Idem que g+s
chmod 4755 ejecutable, activar permisos + el bit SetUID. Idem que u+s
chmod: copiar permisos de un fichero a otro,chmod --reference=fichero_origen fichero_destino
chown: establece como usuario y grupo propietario a todos los ficheros y directorios recursivamente,chown -R pepe:dev /path
lsof: lista los ficheros abiertos por el usuario,lsof -u pepe
lsof: lista los ficheros abiertos por el proceso con PID,lsof -p PID
lsof: lista los ficheros abiertos por el proceso con nombre,lsof -c nombre
lsof: muestra los procesos que tiene abierto el fichero,lsof /path/fichero
lsof: muestra solo los PID de los procesos que tiene abierto el fichero,lsof -t /path/fichero
Que información muestra stat fichero/directorio, permisos; nº inodo; tipo fichero; número enlaces hard links; Uid y Gid; fecha acceso modificación y cambio; tamaño
ln -s origen nombre_enalce, enlace simbolico; funciona con directorios y fichero
ln origen nombre_enlace, enlace duro; no vale para directorios

# Linux tar tape archive B side

crea un fichero empaquetado sin comprimir,tar cvf file.tar *.c Ojo tar -cvf importa el orden(-)
crea un fichero emaquetado y comprimido con gzip,tar cvfz file.tar.gz *.c. Ojo tar -cvzf importa el orden(-)
crea un fichero emaquetado y comprimido con bzip2,tar cvfj Phpfiles-org.tar.bz2 /home/php
desempaqueta un fichero con o sin compresion,tar xvf file.tar
desempaqueta un fichero con o sin compresion,tar xvf videos-14-09-12.tar.bz2
actualiza o añade un fichero en un empaquetado concreto,opción -r
para poder especificar el nombre del fichero resultante,opción -f
para usar el algoritmo de compresion xz,opción -J
lista el contenido del archivo empaquetado o comprimido,opción -t

# Linux popurrí comandos

whoami, lista el usuario actual. /user (nombre de usuario + SID). /groups (grupos a los que pertenece). /priv (privilegios de seguridad)
exec comando, ejecuta el comando y te saca del shell como si hiceramos exit
time comando, lista el tiempo que ha tardado en ejecutar el comando; el real; de usuario; de sistema
touch nombre fichero, crea un fichero vacio con los permisos de la mascara actual umask
Cual es el permiso de umask, umask=022
Como se calcula los permisos por defecto, permiso BASE AND Not(umask). El umask es 022
Permiso base fichero, 666
Permiso base directorio, 777
Como listar de forma larga y recursivo, ls -l -R
Copiar si el origen está más actualizado que el destino, cp -u
Copiar de forma recursiva, cp -r
Mover fichero de forma interactiva, mv -i
Borrar fichero preguntando, rm -i
Borrar de forma recursiva, rm -r
Modificar fecha de acceso fichero, touch -a
Mofificar fecha de modificación, touch -m
Parametro de touch que no crea fichero si no existe, touch -c
