# Codigos respuesta HTTP

Tipo 100s,Informativos
Tipo 200s,Códigos de exito
Tipo 300s,Redireciones
Tipo 400s,Problemas con la solicitud del cliente
Tipo 500s,Error o problema al procesar la solicitud del cliente
Nº código: OK, 200
Nº código: Created. Se ha creado un nuevo recurso. Ej: PUT, 201
Nº código: Accepted. Recibido pero no procesado(Batch), 202
Nº código: Acción solicitada OK pero no necesita dar respuesta(ej. delete), 204
Nº código: Se ha movido permanentemente, 301
Nº código: Se ha movido temporal, 302
Nº código: No se ha modificado desde la última petición, 304
Nº código: Bad request, 400
Nº código: No Autorizado(requiere autenticación cliente), 401
Nº código: Prohibido el acceso(Forbidden), 403
Nº código: Not found, 404
Nº código: Metodo no permitido, 405
Nº código: Request muy grande, 413
Nº código: Internal error(generico), 500
Nº código: Bad Gateway, 502
Nº código: Servicio no disponible, 503
Nº código: Gateway Error, 504

# Headers HTTP

Request ¿Autorización acceso BASIC o JWT?,Autorization: BASIC
Request ¿Controlar el cache?,Cache-control
Request ¿Tipos MIME aceptados?,Accept: text/html
Request ¿Codificación caracteres aceptados?,Accept-Charset: utf-8
Request ¿Lenguajes soportados?,Accept-Language: es-Es
Request ¿Compresión soportada?,Accept-Encoding: gzip defflate
Request ¿Tipo contenido?,Content-Type:
Request ¿Tamaño del contenido?,Content-Length:
Request ¿Cabecera de cookies?,Cookie:
Request ¿Nombre del dominio?,Host:www.google.es
Request ¿Particionar las respuestas?,Range: bytes = 500-599
Request ¿Mantener la conexión activa?,Connection: keep-alive
Request ¿Identificar al browser?,User-Agent
Request ¿Politica de CORS?,Access-Control-Request-Method
Response ¿La respuesta permanece hasta N segundos después de que se genera la respuesta?,Cache-control: max-age = 3600
Response ¿Indica que contiene un fichero adjunto?,Content-disposition:attachment filename=
Response ¿Elección de compresión mensaje?,Content-Encoding: gzip
Response ¿Tamaño del tamaño del mensaje?,Content-Length
Response ¿Rango del tamaño del mensaje respuesta del total?,Content-Range: bytes 2010-4120
Response ¿Redirección?,Location: url
Response ¿Fecha de ultima modificación?,Last-Modified:
Response ¿Elección de compresión transferencia?,Tansfer-Encoding: gzip
Response ¿Indica el tipo de autenticación debe usar el cliente?,www-Authenticate: Basic
Response ¿Indentifica el servidor?,Server: ej. nginx
Response ¿Politica cors de fuentes acceptadas?,Acces-Control-Allow-Origin: *
Response ¿Envio de cookie?,Set-Cookie: cookie-name = cookie-value

# Direcciones IPv6

Identifican a un interface,Unicast
Identifican a un grupo de interfaces,Multicast
Identifican a interface dentro de un grupo,Anycast
IPs Unicast Link-Local,FE80::/10
IPs Unicast Unique-Local,FC00::/7 Se divide en dos bloques FD00::/8 y FC00::/8
IPs Unicast Global,2000::/3
IPs Multicast todos los nodos,FF02::1
IPs Multicast todos los routers,FF02::2

# Direcciones Classfull

Rango IPs clase A,0-127 0.0.0.0 126 redes reservada y 127.0.0.0 loopback
Rango IPs clase B,128-191
Rango IPs clase C,192-223
Rango IPs clase D(Multicast),224-239
Rango IPs clase E(Experimental),240-255
Direcciones uso privado,Clase A 10.0.0.0 Clase B 172.16.0.0-172.31.255.255 Clase C 192.168.0.0
Direcciones automáticas APIPA,169.254.0.0/16 169.254.1.0-169.254.254.255 no se usan las 169.254.0.0/24 y 169.254.255.0/24

# Versiones de Android Debian Ubuntu MacOSRedHat DesktopName

Debian 12, Bookworm
Debian 11, Bullseye
Debian 10, Buster
Debian 9, Stretch
