¿Qué tipos de firmas propone la NTI del documento electrónico?,* XAdES * CAdES * PAdES * CSV
¿Qué tipo de solución del CCN es Loreto? ¿Y Monica?,Loreto --> Almacenamiento de ficheros modo nube Monica --> SIEM
¿En qué consiste el concepto de la deduplicación?,En sistemas de almacenamiento consiste en detectar bloques duplicados (ej. mediante hash) y almacenarnos solo una vez
Dentro del formato APK de Android. ¿donde se encuentran definidos los permisos que solicita la aplicación?,AndroidManifest.xml
¿Para que nos sirve el modificador new en c#?,Para especificar en una clase hija que en lugar de sobreescribir un metodo del padre estamos creando un metodo nuevo (aunque tenga el mismo nombre)
¿Cual es el proposito de una HBA en el contexto de sistemas de almacenamiento?,Conectar generalmente mediante enlaces FC con la cabina/SAN (mediante los switches)
Si codificamos un texto de 100 caracteres en utf-8. ¿cuantos bytes ocuparía?,Al ser un sistema de longitud variable. entre 100 y 400 bytes
En Powershell. ¿cuando debemos de hacer uso de Set-ExecutionPolicy -ExecutionPolicy ...?,Cuando queremos poder ejecutar scripts (.ps1) desde la consola por ej.
¿Cuales son los elementos fundamentales del fichero pom.xml de la herramienta Maven?,Campos que indican el tipo de proyecto (jar. war o ear). las coordenadas del proyecto (artifactId.groupID y version) y las dependencias de librerias de terceros
¿En que consiste el Sprint Backlog dentro de la metodologia SCRUM?,Subconjunto de requisitos del Product Backlog que vamos a implementar en esa iteracion
¿Cual es el proposito de kubernetes dentro de una infraestructura de virtualización ligera?,Gestión de contenedores en un entorno de cluster La unidad minima de gestión es el Pod. que representa a 1 o varios contenedores con IP propia
¿En que consiste la aplicación de 2FA?,Metodo de autenticacion que consiste en utilizar 2 metodos de estas 3 categorias: * Algo que se (PIN. Password. etc) * Algo que tengo (Dongle.tarjeta claves. etc) * Algo que soy (Huella. etc)
¿Qué tipo de información se almacena en el fichero /etc/apt/sources.list?,Las url's con los catalogos de paquetes para esa version de Linux que tengamos instalada
¿Dondé se puede definir un valor de nice por defecto para un usuario?,/etc/security/limits.conf
¿Qué son y cual es el propósito de los jumboframes?,Son tramas ethernet de hasta 9000bytes de payload y sirven para incrementar el rendimiento o trafico (ej: tipico con sistemas de almacanamiento)
En el contexto del protocolo IP. ¿en que consiste APIPA?,Dirección generada automaticamente por el host cuando no hay comunicacion con el DHCP (169.254.1.0 a 169.254.254.255)
¿Cual es el objetivo del registro AAAA en el servicio de DNS?,Asociar un nombre con una dirección IPv6
¿Qué metodos fundamentales tiene la clase Object en Java?,* equals() --> metodo de comparación de objetos (es bueno sobreescribir con la logica de igual de nuestras clases) * toString() --> metodo que proporciona una representacion en forma de cadena de nuestros objetos (bueno sobreescribirlo tambien) * wait() --> para poder bloquear temporalmente hilos * notifiy() --> para despertar del bloqueo a los hilos * getClass() --> Nos da un objeto de tipo Class que obtener dinamicamente todos los metadatos de un objeto * clone() --> copia de objetos * hashCode() --> nos da un codigo hash del objeto * finalize() --> metodo que hay que sobreescribir y que será invocado por el recolector de basura cuando elimine el objeto
En el contexto de los ficheros. ¿qué es el Magic Number?,Unos primeros bytes que identifican el tipo de fichero que es (pdf. zip. jpg. ...)
Sistemas de identificacicón de los interesados en el procedimiento según la ley 39/2015,a) Sistemas basados en certificados electrónicos cualificados de firma electrónica expedidos por prestadores incluidos en la ‘‘Lista de confianza de prestadores de servicios de certificación’’. b) Sistemas basados en certificados electrónicos cualificados de sello electrónico expedidos por prestadores incluidos en la ‘‘Lista de confianza de prestadores de servicios de certificación’’. c) Sistemas de clave concertada y cualquier otro sistema. que las Administraciones consideren válido en los términos y condiciones que se establezca. siempre que cuenten con un registro previo como usuario que permita garantizar su identidad
