¿Qué contiene el registro IR de la CPU?,Contiene la instrucción que está actualmente en ejecución o decodificación
¿Cual es el uso del modificador native en Java?,Para indicarle a la JRE que este metodo definido en una clase Java está programado en C/C++ en una libreria externa (que tenemos que indicarle)
"¿Con que propiedad se controla el estado del ""objeto"" XHR de Ajax?",Tenemos tres propiedades dentro del objeto XHR para controlar el estado: - Property onreadystatechange (asignaremos una funcion nuestra para que sea invocada por el motor AJAX) - Property readyState (0 = sin inicializar. 1 = abierto. 2 = cabeceras recibidas. 3 = cargando y 4 = completado) - Property status (codigo http. Nos interesa sobre todo el 200)
Nombre dos tipos de fibra monomodo,OS1(uso en interiores) y OS2 (exteriores). Como caracteristicas principales tenemos: - Nucleo de fibra de 8-10 micrómetros - Distancia --> OS1 --> 2km-10km. OS2 --> 200km - Velocidad --> OS1 --> 1GbE/10GbE. OS2 --> 1GbE/10GbE/40GbE/100GbE (NOTA: se pueden multiplexar varias señales por un canal de fibra con DWDM llegando hasta 40GbE y 100GbE)
¿Que tipo de producto es Ansible y cual es su arquitectura?,Es un producto de automatización o gestión de la configuracion (IaC). Sus principales caracteristicas son: - No necesita instalación de agentes especiales en las maquinas administradas (solo SSH) - La definición de tareas se hace en unos ficheros llamados Playbooks (en formato YAML) (NOTA: Sirve para Linux y Windows)
Tipos de datos del estandar ECMA-404,"Tenemos los siguiente ""tipos"" de valores --> Object.Number.String.Array.true.false.null (NOTA: Recordad que en el standard no hace referencia al tipo Boolean. otra cosa será como lo pregunten)"
¿En que consiste la integridad referencia el modelo Relacional?,Significa que la clave externa de una tabla de referencia siempre debe aludir a una fila válida de la tabla a la que se haga referencia o ser NULL. La integridad referencial garantiza que la relación entre dos tablas permanezca sincronizada durante las operaciones de actualización y eliminación.
¿Donde podemos encontrar el fichero classes.dex?,Dentro del fichero con extension .apk (empaquetado de app's para Android). Contiene todas los fichero .class
¿Con que sentencia de iptables podemos proteger el puerto 80 para que solo sea accesible por determinadas IP's?,iptables -A INPUT -s 10.50.0.0/16 -p tcp --dport 80 -i eth0 -j ACCEPT
¿Cual es la utilidad del patrón Iterator?,Poder recorrer una coleccion concreta (arbol.pila.lista....) siempre de la misma forma (sin importar cual sea dicha coleccion)
¿Para qué está admitida una firma CSV en la administración?,(Ley 40/2015) Artículo 42. Sistemas de firma para la actuación administrativa automatizada. En el ejercicio de la competencia en la actuación administrativa automatizada. cada Administración Pública podrá determinar los supuestos de utilización de los siguientes sistemas de firma electrónica: - Sello electrónico de Administración Pública. órgano. organismo público o entidad de derecho público. basado en certificado electrónico reconocido o cualificado que reúna los requisitos exigidos por la legislación de firma electrónica. - Código seguro de verificación vinculado a la Administración Pública. órgano. organismo público o entidad de Derecho Público. en los términos y condiciones establecidos. permitiéndose en todo caso la comprobación de la integridad del documento mediante el acceso a la sede electrónica correspondiente.
¿Qué puertos hay involucrados en una sesión de FTP?,Modo activo --> 21 (control) y 20 (datos) Modo pasivo --> 21 (control). El puerto de datos es con un puerto local sin especificar FTP + SSL (FTPS) --> 990 (control) y 989 (datos)
¿A que se le llama vector de interrupcion?,A la dirección de memoria de la rutina ISR de tratamiento de una interrupcion (NOTA: Se almacena en una tabla de vectores de interrupcion en las primeras posiciones de memoria principal)
¿Cual es el objetivo de la herramienta del CCN Gloria?,Ofrecer un SIEM centralizado que recoger información de los organismos (Carmen.Sonda SAT-Inet. etc)
¿Qué caracteristicas tiene el sistema de codificación de caracteres iso-8859-1?,Sistema de codificación de 8bits orientado al alfabeto latino (latin-1 es su alias) que incluye por ej la ñ (pero no el simbolo del €)
¿Qué tipo de dispositivo es un firewall WAF?,Un tipo de firewall de aplicación especializado en analizar posibles ataques web (según OWASP TOP 10)
En gestión de red. ¿que relación existe entre un MIB y un OID?,El MIB es la BBDD de gestión (jerarquica) que hay detrás de un dispositivo y cada una de las ramas/nodos(propiedades) de esa BBDD tiene un OID unico
¿Qué información tiene un fichero con extensión .ldif?,Formato de texto plano que representa los datos de una entrada del arbol asi como alguna de sus operaciones (add.delete....)
¿En qué consisten las pruebas unitarias? Productos,Pruebas de una pieza del software de forma asilada del resto (para aislar por ej. se usa Mockito) Algunas herramientas serían: JUnit.PHPUnit.NUnit.Mocha/Jest/Jasmine(Javascript)
¿Cual es el nivel minimo de accesibilidad WCAG según el RD 1112/2018?,El RD 1112/18 transpone la directiva europea 2016/2012. que hace referencia a la norma técnica europea EN 301549 (actualmente version 3.1.1) publicada por AENOR como UNE-EN 301549:2020. y que están alineadas con las WCAG 2.1 exigiendo nivel AA (https://olgacarreras.blogspot.com/2014/02/en-301-549-primera-norma-europea-de.html)
