¿Qué organización se encarga del estandar Bluetooth?,Bluetooth Special Interest Group (Bluetooth SIG)
En Linux. ¿en que ficheros podemos configurar asuntos relacionados con resolución de nombres?,Tenemos dos ficheros que se procesan según el orden definido en /etc/nsswitch.conf (es una linea como esta --> hosts: files dns) * /etc/hosts (resoluciones locales/estaticas) * /etc/resolv.conf (información de los servidores DNS que vamos a usar) Ej de contenido: domain acme.com (por si usamos nombres cortos se añadira esto por defecto) search ruinosa.com empresa.com (lista de dominios en los que va a intentar la busqueda si usamos nombre corto) nameserver 8.8.8.8 nameserver 7.7.7.7
¿En que arquitectura encuadramos el protocolo IIOP?,Protocolo definido por la OMG en el ambito de la arquitectura distribuida CORBA (comunicación entre ORB's) NOTA: GIOP (Protocolo Entre ORBs General) es el protocolo abstracto por el cual los ORBs se comunican (IIOP es la implementacion para TCP/IP)
En XML. ¿cual es la utilidad de los espacios de nombres?,"Para evitar posibles duplicidades en el uso de las etiquetas en un documento XML (se les añade un prefijo) Ej. xmlns:xhtml=""http://www.w3.org/1999/xhtml"" (espacio de nombres con prefijo xhtml) xmlns=""http://www.w3.org/1999/xhtml"" (posibilidad de crear un espacio de nombres por defecto)"
En JEE. ¿que tipos de EJB's existen?,Son componentes distribuidos y accesibles remotamente (internamente funcionan con RMI) Internamente de cada clase EJB se crea un pool de objetos en el EJB container Están registrados (cuando se levanta la aplicación) en el arbol JNDI Tipos: - EJB's de sesion (Stateless y Stateful) - EJB's MDB (dirigidos por mensajes). Sirven para recibir mensajes de una cola JMS - EJB' singleton (solo se crea una instancia para toda la aplicación). Aparecen en JEE6
¿Para que se utiliza la sintaxis ASN.1 y que sistemas de codificación conoce?,"Sintaxis basada en BNF para definir tipos de datos (muy usado en el ambito de SNMP para definir MIB's o el formato x509v3 de un certificado) Ej: Una opción codificación binaria de estos ""objetos"" definidos sería XML/XER o BER (Basic Encoding Rules) que tiene dos subtipos (CER y DER) Estas codificaciónes siguen el formato TIPO (OID. SEQUENCE. OCTET STRING. INTEGER....) + LONGITUD + VALOR"
En BBDD. ¿en que consiste el problema de la lectura fantasma?,Cuando aparecen (por ej dentro de una transacción con dos SELECT) filas nuevas/borradas (por otra transaccion) entre la ejecución de la primera SELECT y la segunda
Explique brevemente la utilidad del patron Flyweight,"Patron de diseño con el que identificamos en una clase de la que se van a generar muchos objetos que ciertos atributos tienen siempre el mismo valor. con lo que se desperdicia memoria. La propuesta de diseño es ""extraer"" esos atributos a otra clase y de esta generar 1 solo objeto compartido por todos los demas NOTA: Se usa conjuntamente con una Patron de tipo Factory"
En correo electrónico. ¿que papel juega una MSA y que puerto utiliza?,En la arquitectura del correo nos puede servir para que los MUA hagan los envios a la(s) MSA's de la organización. y asi controlemos distintos aspectos (politicas. seguridad. etc)  posteriormente la MSA enviará el correo a traves de la MTA correspondiente. El puerto oficial es el 587 y el protocolo que utiliza es ESMTP NOTA: El registro DNS en el que podemos consultar nuestra MSA es SRV (sirve tambien para otros servicios). Sintaxis: _servicio._protocolo.dominio. TTL class SRV priority weight port target. Ej: _submission._tcp.example.com. 86400 IN SRV 0 1 587 mail.example.com.
Segun el art.10 de la ley 39/2015. ¿cuales son los sistemas de firma admitidos por las Admon. Publicas?,- Los interesados podrán firmar a través de cualquier medio que permita acreditar la autenticidad de la expresión de su voluntad y consentimiento. así como la integridad e inalterabilidad del documento. - En el caso de que los interesados optaran por relacionarse con las Administraciones Públicas a través de medios electrónicos. se considerarán válidos a efectos de firma: - Sistemas de firma electrónica cualificada y avanzada basados en certificados electrónicos cualificados de firma electrónica expedidos por prestadores incluidos en la ‘‘Lista de confianza de prestadores de servicios de certificación’’. - Sistemas de sello electrónico cualificado y de sello electrónico avanzado basados en certificados electrónicos cualificados de sello electrónico expedidos por prestador incluido en la ‘‘Lista de confianza de prestadores de servicios de certificación’’. - Cualquier otro sistema que las Administraciones Públicas consideren válido en los términos y condiciones que se establezca. siempre que cuenten con un registro previo como usuario que permita garantizar su identidad. previa autorización por parte de la Secretaría General de Administración Digital del Ministerio de Política Territorial y Función Pública. que solo podrá ser denegada por motivos de seguridad pública. previo informe vinculante de la Secretaría de Estado de Seguridad del Ministerio del Interior. La autorización habrá de ser emitida en el plazo máximo de tres meses - Cuando los interesados utilicen un sistema de firma de los previstos en este artículo. su IDENTIDAD se entenderá ya acreditada mediante el propio acto de la firma.
¿En que consiste la tecnologia iSCSI?,Envio de comandos SCSI (protocolo) a traves de una red TCP/IP Elementos de la arquitectura: initiatior (cliente) y target (servidor). Existen HBA's iSCSI Puertos: 860 y 3260
En Linux. ¿como configuramos un servidor de FTP para que arranque bajo demanda?,"Con superserver daemon inetd (xinetd es una versión que introduce mejoras relacionadas con la seguridad) Ej de entrada del fichero de configuración /etc/inetd.conf telnet  stream  tcp     nowait  root    /usr/sbin/in.telnetd NOTA: el primer parametro (en este caso ""telnet"") ha de existir en /etc/services dgram en lugar de stream sería para protocolo UDP"
En el ambito del almacenamiento. ¿en que consiste la configuración JBOD?,Es una configura NO-RAID que nos agrupa toda la capacidad de todos los discos como si fueran uno solo. No despercia nada de almacenamiento. Según se llena un disco se usa el siguiente. No redundancia
¿Cual es la diferencia fundamental entre un Patrón Factory Method y un Abstract Factory?,Factory Method --> Una sola familia de objetos Abstract Factory --> Varias familias de objetos. Cada fabrica concreta crea un objeto de cada familia con distintos metodos
En el contexto de IPSec. ¿qué es un SA - Security Association?,Información que se guarda en una BBDD y que representa la configuración de seguridad negociada entre emisor y receptor Tiene un sentido unidireccional (en cada extremo tendremos dos: uno para el trafico entrante y otro para el saliente) Información que contiene cada SA: * IP Destino * SPI (indice para localizar a esta info en la BBDD) * Clave * Protocolo y modo (Ej AH modo transporte) * Algortimo criptografico (Ej HMAC-SHA1) * Otros opciones (Ej tiempo de vida de la clave)
¿Como se define un constructor en PHP.Java.C# y VB.Net?,java   --> mismo nombre que la clase c#     --> mismo nombre que la clase php    --> public function __construct(...) vb.net --> Public Sub New(...) python --> def __init__(self....):
¿Qué utilidad tiene el metodo finalize() de la clase Object?,Nos permite escribir codigo (tipicamente de liberación de recursos) cuando ese objeto sea eliminado por el GC
¿Cuales son los tres grupos de medidas de seguridad según el ENS?,Marco organizativo [org]. Constituido por el conjunto de medidas relacionadas con la organización global de la seguridad. Marco operacional [op]. Formado por las medidas a tomar para proteger la operación del sistema como conjunto integral de componentes para un fin. Medidas de protección [mp]. Se centran en proteger activos concretos. según su naturaleza y la calidad exigida por el nivel de seguridad de las dimensiones afectadas.
¿Cual es proposito del servicio común ACCEDA?,Servicio comun que nos proporciona lo siguiente: * Sede electronica * Creación y Gestión de procedimientos administrativos (Diseñador de formularios) * Tramitación de expedientes electrónicos
¿Cual es la utilidad de las guias CCN-STIC 800?,Serie de guías relacionadas con el cumplimiento de las medidas del ENS
